FirstName,Surname,DateOfBirth,Street,City,PostalCode,Country,Phone,Iban
Kjeld,Østergaard,1979-03-15,Vestergade 152,Aalborg,9313,DK,+45167423362,DK8663592849334464
Stefanie,Müller,1965-06-20,Löwenplatz 98,Stuttgart,49351,DE,+49982824674,DE88436014110574999346
Päivi,Mäkelä,1975-06-05,Käpyläntie 145,Tampere,65361,FI,+358587506633,FI1049370616912561
Marco,Demir,2004-07-09,Grünstraße 151,Köln,34749,DE,+49626448869,DE55348706731793398006
Sirpa,Näätänen,1970-01-19,Hämeenkatu 96,Tampere,35598,FI,+358281793230,FI3978198491600100
Jörg,Müller,1961-10-03,Hauptstraße 69,München,22693,DE,+49380698477,DE19763633233698808489
Hassan,Kowalczyk,1998-07-18,Grünstraße 64,Frankfurt am Main,91048,DE,+49786305050,DE52976247739946613678
Bo,Møller,1985-01-13,Vestergade 128,Aarhus,9990,DK,+45727178333,DK2919619093327696
Ritva,Hämäläinen,1978-01-29,Rautatienkatu 178,Jyväskylä,83884,FI,+358915668633,FI5122135195133735
Ülkü,Grün,2004-08-18,Löwenplatz 94,Düsseldorf,96998,DE,+49993160875,DE62198446168753919748
Jörn,Schäfer,1976-11-23,Löwenplatz 86,Düsseldorf,39500,DE,+49027642086,DE56369735261831758874
Agnieszka,Petrov,1977-07-27,Kühnstraße 38,Nürnberg,35644,DE,+49059126620,DE30091096596402469636
Ingelise,Rønne,1990-12-15,Strøget 162,Randers,1190,DK,+45111178309,DK2255277146450097
Jürgen,Jäger,2001-10-31,Lindenallee 138,Würzburg,18379,DE,+49898131292,DE94043056027012919620
Kjærstin,Kærgaard,1986-01-28,Frederiksberggade 36,Randers,9563,DK,+45598831030,DK7312896231602394
Ülkü,Krüger,1982-03-03,Lindenallee 53,Köln,92984,DE,+49359892625,DE13940601150633282039
Elena,Nguyen,2001-12-04,Lindenallee 79,Lübeck,22522,DE,+49859484910,DE82193379558410511370
Tuulikki,Särkelä,1997-05-19,Käpyläntie 118,Tampere,55917,FI,+358784468341,FI4994300791075489
Sören,Kühn,1969-03-09,Rosenstraße 132,Würzburg,63145,DE,+49093068538,DE18604197913130419368
Kjærstin,Bjørnholm,1977-02-11,Frederiksberggade 76,Esbjerg,1036,DK,+45963480797,DK1600421374041584
Ahmed,Ivanov,1984-11-06,Frederiksberggade 102,Kolding,6971,DK,+45628417722,DK2434381103791146
Renée,Kühn,1987-02-23,Löwenplatz 175,Düsseldorf,62412,DE,+49862110225,DE88572639742472152789
Rüdiger,Kühn,1974-04-04,Grünstraße 27,Würzburg,34729,DE,+49923126043,DE86946004362345632234
Fatima,Yılmaz,1977-01-07,Hauptstraße 170,Frankfurt am Main,47397,DE,+49749162475,DE49316671387562250166
Rüdiger,Hübner,1964-09-19,Grünstraße 115,Köln,81641,DE,+49954738202,DE94152889984790495056
Yusuf,Kowalski,1993-08-30,Löwenplatz 178,Nürnberg,74884,DE,+49881278686,DE02421126874753275102
Ahmed,Hassan,1976-11-02,Müllerstraße 14,Nürnberg,80070,DE,+49105955184,DE81746308829195977173
Eija,Örnberg,1987-02-03,Kirkkokatu 114,Turku,44308,FI,+358962736527,FI7301181476011360
Jörn,Bäcker,1959-01-22,Grünstraße 135,Düsseldorf,89074,DE,+49166010023,DE15729570758801788342
Örn,Mäkelä,1984-08-15,Mannerheimintie 12,Espoo,23623,FI,+358620303662,FI1432966794929203
Günther,Schäfer,1996-06-15,Wächterweg 39,Düsseldorf,79531,DE,+49592624945,DE23824329778971147981
Sören,Köhler,1992-07-17,Gänseblümchenweg 33,Düsseldorf,56217,DE,+49576769523,DE73355452075782032834
Olga,Haddad,1999-04-22,Jägerweg 36,Berlin,28892,DE,+49863330212,DE71309376088030058117
Häkkinen,Lindström,1959-03-09,Käpyläntie 87,Lahti,46213,FI,+358200928206,FI4386858957419591
Cäcilie,Jäger,1964-12-04,Königsallee 144,Lübeck,71398,DE,+49756620563,DE60213732112091292050
Bjørn,Kjølner,1989-12-30,Østergade 80,København,5626,DK,+45683565215,DK9147181535821480
Äiti,Näätänen,1998-02-23,Länsiväylä 133,Jyväskylä,26447,FI,+358459606339,FI8869590073878441
Yusuf,Haddad,1974-01-28,Gänseblümchenweg 23,Köln,70390,DE,+49474721970,DE48324664563044890907
Äiti,Mäkelä,1993-10-27,Pörssikatu 97,Tampere,19328,FI,+358671577871,FI6907997133947420
Rüdiger,Grün,1992-02-13,Wächterweg 9,Lübeck,18178,DE,+49567303064,DE45211208442810849219
Käthe,Löwe,1992-11-29,Gänseblümchenweg 178,Lübeck,11301,DE,+49893199255,DE44089437627998665071
Eija,Kääriäinen,1975-02-24,Kirkkokatu 90,Turku,96690,FI,+358055044817,FI8364435571141553
Råsmus,Bjørnholm,1965-11-11,Blågårdsgade 159,Aarhus,2700,DK,+45109617981,DK7465868275189374
Møgens,Sørensen,1982-01-04,Bredgade 58,Esbjerg,5333,DK,+45463060002,DK5178573154536309
Jörn,Schröder,1972-03-19,Kirchgasse 82,Würzburg,67331,DE,+49312819648,DE05130007165950796716
Linh,Demir,1982-09-02,Löwenplatz 67,München,20874,DE,+49209117911,DE17121089217446248641
